Entry	Entry name	Protein names	Gene names	Organism	Length	Subcellular location [CC]	Cross-reference (EMBL)
C4ZXG6	DLGD_ECOBW	2,3-diketo-L-gulonate reductase (2,3-DKG reductase) (EC 1.1.1.130) (3-dehydro-L-gulonate 2-dehydrogenase)	dlgD BWG_3265	Escherichia coli (strain K12 / MC4100 / BW2952)	332	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00820}.	CP001396;
C4ZRT7	SYP_ECOBW	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	proS BWG_0187	Escherichia coli (strain K12 / MC4100 / BW2952)	572	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01569}.	CP001396;
C4ZYJ2	LEPA_ECOBW	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	lepA BWG_2333	Escherichia coli (strain K12 / MC4100 / BW2952)	599	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00071}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00071}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_00071}.	CP001396;
C5A098	HSLU_ECOBW	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	hslU BWG_3600	Escherichia coli (strain K12 / MC4100 / BW2952)	443	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00249}.	CP001396;
C4ZYI9	ERA_ECOBW	GTPase Era	era BWG_2330	Escherichia coli (strain K12 / MC4100 / BW2952)	301	SUBCELLULAR LOCATION: Cytoplasm. Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00367}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00367}.	CP001396;
C4ZTG2	QUEA_ECOBW	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	queA BWG_0287	Escherichia coli (strain K12 / MC4100 / BW2952)	356	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00113}.	CP001396;
C5A1D5	CH60_ECOBW	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL BWG_3856	Escherichia coli (strain K12 / MC4100 / BW2952)	548	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00600}.	CP001396;
C4ZTA0	PROA_ECOBW	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA BWG_0225	Escherichia coli (strain K12 / MC4100 / BW2952)	417	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00412}.	CP001396;
C5A071	RHAA_ECOBW	L-rhamnose isomerase (EC 5.3.1.14)	rhaA BWG_3573	Escherichia coli (strain K12 / MC4100 / BW2952)	419	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00541}.	CP001396;
C4ZX84	EX7L_ECOBW	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	xseA BWG_2273	Escherichia coli (strain K12 / MC4100 / BW2952)	456	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00378}.	CP001396;
C4ZR69	ULAG_ECOBW	Probable L-ascorbate-6-phosphate lactonase UlaG (EC 3.1.1.-) (L-ascorbate utilization protein G)	ulaG BWG_3904	Escherichia coli (strain K12 / MC4100 / BW2952)	354	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01266}.	CP001396;
C4ZPT0	KHSE_ECOBW	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	thrB BWG_0003	Escherichia coli (strain K12 / MC4100 / BW2952)	310	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00384}.	CP001396;
C4ZX74	PUR5_ECOBW	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	purM BWG_2263	Escherichia coli (strain K12 / MC4100 / BW2952)	345	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00741}.	CP001396;
C4ZZ19	MNMG_ECOBW	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	mnmG gidA BWG_3432	Escherichia coli (strain K12 / MC4100 / BW2952)	629	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00129}.	CP001396;
C4ZQJ1	UVRC_ECOBW	UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)	uvrC BWG_1722	Escherichia coli (strain K12 / MC4100 / BW2952)	610	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00203}.	CP001396;
C4ZXE9	SYGB_ECOBW	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	glyS BWG_3248	Escherichia coli (strain K12 / MC4100 / BW2952)	689	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00255}.	CP001396;
C4ZXF6	XYLA_ECOBW	Xylose isomerase (EC 5.3.1.5)	xylA BWG_3255	Escherichia coli (strain K12 / MC4100 / BW2952)	440	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00455}.	CP001396;
C4ZYU4	RECA_ECOBW	Protein RecA (Recombinase A)	recA BWG_2435	Escherichia coli (strain K12 / MC4100 / BW2952)	353	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00268}.	CP001396;
C4ZWC9	SYL_ECOBW	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS BWG_0513	Escherichia coli (strain K12 / MC4100 / BW2952)	860	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00049}.	CP001396;
C5A0R9	COAA_ECOBW	Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase)	coaA BWG_3638	Escherichia coli (strain K12 / MC4100 / BW2952)	316	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00215}.	CP001396;
C4ZSQ9	IF2_ECOBW	Translation initiation factor IF-2	infB BWG_2872	Escherichia coli (strain K12 / MC4100 / BW2952)	890	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00100}.	CP001396;
C4ZTY2	RNB_ECOBW	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II) (RNase II) (Ribonuclease II)	rnb BWG_1118	Escherichia coli (strain K12 / MC4100 / BW2952)	644	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01036}.	CP001396;
C4ZQ93	RLMI_ECOBW	Ribosomal RNA large subunit methyltransferase I (EC 2.1.1.191) (23S rRNA m5C1962 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RlmI)	rlmI BWG_0819	Escherichia coli (strain K12 / MC4100 / BW2952)	396	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01857}.	CP001396;
C4ZYV6	NORW_ECOBW	Nitric oxide reductase FlRd-NAD(+) reductase (EC 1.18.1.-) (Flavorubredoxin reductase) (FlRd-reductase) (FlavoRb reductase)	norW flrR BWG_2447	Escherichia coli (strain K12 / MC4100 / BW2952)	377	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01313}.	CP001396;
C4ZQG0	SYR_ECOBW	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	argS BWG_1690	Escherichia coli (strain K12 / MC4100 / BW2952)	577	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00123}.	CP001396;
C4ZUJ5	EFG_ECOBW	Elongation factor G (EF-G)	fusA BWG_3031	Escherichia coli (strain K12 / MC4100 / BW2952)	704	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00054}.	CP001396;
C4ZX89	SYH_ECOBW	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	hisS BWG_2278	Escherichia coli (strain K12 / MC4100 / BW2952)	424	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00127}.	CP001396;
C4ZZ22	ASNA_ECOBW	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	asnA BWG_3435	Escherichia coli (strain K12 / MC4100 / BW2952)	330	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00555}.	CP001396;
C5A134	PLSB_ECOBW	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	plsB BWG_3754	Escherichia coli (strain K12 / MC4100 / BW2952)	807	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00393}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00393}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_00393}.	CP001396;
C4ZXF0	SYGA_ECOBW	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	glyQ BWG_3249	Escherichia coli (strain K12 / MC4100 / BW2952)	303	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00254}.	CP001396;
C4ZVS5	GLK_ECOBW	Glucokinase (EC 2.7.1.2) (Glucose kinase)	glk BWG_2156	Escherichia coli (strain K12 / MC4100 / BW2952)	321	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00524}.	CP001396;
C4ZYX7	RECF_ECOBW	DNA replication and repair protein RecF	recF BWG_3390	Escherichia coli (strain K12 / MC4100 / BW2952)	357	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00365}.	CP001396;
C5A0Q9	ARLY_ECOBW	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	argH BWG_3628	Escherichia coli (strain K12 / MC4100 / BW2952)	457	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00006}.	CP001396;
C4ZT56	RF3_ECOBW	Peptide chain release factor 3 (RF-3)	prfC BWG_4066	Escherichia coli (strain K12 / MC4100 / BW2952)	529	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00072}.	CP001396;
C4ZXX9	RLMF_ECOBW	Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.181) (23S rRNA mA1618 methyltransferase) (rRNA adenine N-6-methyltransferase)	rlmF BWG_0660	Escherichia coli (strain K12 / MC4100 / BW2952)	308	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01848}.	CP001396;
C4ZYX9	DNAA_ECOBW	Chromosomal replication initiator protein DnaA	dnaA BWG_3392	Escherichia coli (strain K12 / MC4100 / BW2952)	467	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00377}.	CP001396;
C5A0H0	YGFZ_ECOBW	tRNA-modifying protein YgfZ	ygfZ BWG_2623	Escherichia coli (strain K12 / MC4100 / BW2952)	326	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01175}.	CP001396;
C4ZZ24	RAVA_ECOBW	ATPase RavA (EC 3.6.3.-) (Regulatory ATPase variant A)	ravA BWG_3437	Escherichia coli (strain K12 / MC4100 / BW2952)	498	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01625}.	CP001396;
C4ZQC8	CBPA_ECOBW	Curved DNA-binding protein	cbpA BWG_0854	Escherichia coli (strain K12 / MC4100 / BW2952)	306	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000255|HAMAP-Rule:MF_01154}.	CP001396;
C4ZTQ2	RF1_ECOBW	Peptide chain release factor 1 (RF-1)	prfA BWG_1036	Escherichia coli (strain K12 / MC4100 / BW2952)	360	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00093}.	CP001396;
C5A0G3	RF2_ECOBW	Peptide chain release factor 2 (RF-2)	prfB BWG_2616	Escherichia coli (strain K12 / MC4100 / BW2952)	365	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00094}.	CP001396;
C4ZY73	TUS_ECOBW	DNA replication terminus site-binding protein (Ter-binding protein)	tus BWG_1425	Escherichia coli (strain K12 / MC4100 / BW2952)	309	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00483}.	CP001396;
C4ZTF1	RDGC_ECOBW	Recombination-associated protein RdgC	rdgC BWG_0276	Escherichia coli (strain K12 / MC4100 / BW2952)	303	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000255|HAMAP-Rule:MF_00194}.	CP001396;
C5A059	FDHE_ECOBW	Protein FdhE	fdhE BWG_3561	Escherichia coli (strain K12 / MC4100 / BW2952)	309	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00611}.	CP001396;
C4ZU31	NDPA_ECOBW	Nucleoid-associated protein YejK	yejK BWG_1962	Escherichia coli (strain K12 / MC4100 / BW2952)	335	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000255|HAMAP-Rule:MF_00730}.	CP001396;
